IDCidadeA;IDCidadeB;Distancia;Preco
1;2;12.5;1.5
1;3;35.8;4.3
1;4;42.6;5.11
1;5;156.7;18.8
1;6;189.3;22.72
1;7;214.1;25.69
1;8;296.7;35.6
1;9;326.8;39.22
1;10;650.1;78.01
2;3;27.8;3.34
2;5;167.7;20.12
2;6;197.6;23.71
2;7;215.4;25.85
2;8;278.8;33.46
2;9;313.7;37.64
2;10;652.6;78.31
3;4;76.8;9.22
3;5;105.8;12.7
3;6;214.2;25.7
3;7;298.3;35.8
3;8;358;42.96
3;9;370;44.4
3;10;696.4;83.57
4;5;48.2;5.78
4;6;100.3;12.04
4;7;165.3;19.84
4;8;198.2;23.78
4;9;243.5;29.22
4;10;502.3;60.28
5;6;59;7.08
5;7;105.2;12.62
5;8;128.9;15.47
5;9;198.5;23.82
5;10;470.2;56.42
6;7;28.9;3.47
6;8;100.2;12.02
6;9;142.5;17.1
6;10;178.9;21.47
7;8;40.1;4.81
7;9;87.2;10.46
7;10;303.2;36.38
8;9;45.2;5.42
8;10;297.2;35.66
9;10;256.3;30.76
